0.05,17.723,0.006,0.737,0.001,-0.001,0.009,36.632,0.045,1
0.031,16.196,0.023,1.035,0.033,0.017,0.023,35.532,0.091,1
0.075,18.392,0.037,0.939,0.021,-0.023,0.025,37.642,0.049,1
0.026,16.241,0.021,1.03,0.027,0.155,0.018,35.353,0.094,1
0.101,19.299,0.028,0.839,0.032,-0.048,0.02,38.437,0.055,1
0.02,15.086,0.007,1.033,0.007,-0.031,0.008,34.494,0.111,1
0.045,17.592,0.016,0.985,0.016,0.095,0.014,36.728,0.057,1
0.043,17.275,0.033,0.784,0.016,-0.014,0.02,36.276,0.059,1
0.018,15.753,0.012,0.739,0.006,0.055,0.011,34.576,0.121,1
0.079,18.281,0.011,0.873,0.014,-0.043,0.012,37.465,0.041,1
0.088,19.398,0.073,0.65,0.029,0.032,0.037,38.121,0.046,1
0.063,18.177,0.041,1.001,0.018,-0.034,0.019,37.54,0.046,1
0.026,16.037,0.018,1.139,0.084,-0.005,0.018,35.565,0.141,1
0.05,17.799,0.014,0.915,0.018,0.096,0.017,36.827,0.06,1
0.071,18.377,0.054,0.988,0.022,0.041,0.026,37.604,0.048,1
0.025,16.735,0.017,0.699,0.012,0.25,0.015,35.192,0.092,1
0.053,17.614,0.011,0.901,0.01,-0.014,0.011,36.794,0.047,1
0.024,16.205,0.041,0.854,0.019,0.04,0.022,35.228,0.094,1
0.016,14.76,0.017,1.018,0.026,0.016,0.017,34.071,0.146,1
0.049,17.026,0.009,1.042,0.013,0.01,0.01,36.383,0.051,1
0.016,15.246,0.009,0.992,0.009,0.293,0.008,34.083,0.138,1
0.125,19.525,0.027,0.957,0.033,-0.074,0.015,38.885,0.049,1
0.035,16.611,0.01,0.983,0.015,0.037,0.011,35.837,0.069,1
0.016,15.816,0.006,0.881,0.003,0.343,0.007,34.405,0.133,1
0.017,15.38,0.019,0.989,0.024,0.225,0.009,34.319,0.133,1
0.03,16.636,0.029,1.045,0.111,0.122,0.01,35.822,0.21,1
0.03,16.821,0.014,0.917,0.024,0.005,0.01,35.994,0.08,1
0.017,15.284,0.02,0.916,0.024,0.008,0.014,34.452,0.136,1
0.028,16.048,0.01,0.938,0.008,0.071,0.007,35.15,0.079,1
0.054,17.66,0.055,0.733,0.039,-0.028,0.019,36.606,0.054,1
0.024,16.089,0.009,0.94,0.029,0.036,0.012,35.25,0.102,1
0.017,15.094,0.011,0.909,0.016,0.03,0.006,34.216,0.128,1
0.039,16.732,0.005,1.205,0.008,0.044,0.006,36.284,0.057,1
0.032,16.791,0.009,0.84,0.013,0.043,0.01,35.789,0.074,1
0.018,15.584,0.004,0.892,0.007,0.153,0.005,34.489,0.124,1
0.026,16.005,0.004,1.104,0.007,0.083,0.004,35.342,0.084,1
0.025,15.51,0.007,1.006,0.013,-0.066,0.006,34.931,0.091,1
0.036,17.091,0.027,0.868,0.024,0.054,0.013,36.113,0.066,1
0.023,16.544,0.007,0.732,0.006,0.19,0.006,35.146,0.094,1
0.016,15.323,0.005,0.724,0.006,0.052,0.005,34.129,0.133,1
0.022,15.832,0.014,0.953,0.01,0.081,0.009,34.941,0.101,1
0.031,16.182,0.006,1,0.011,-0.043,0.008,35.558,0.075,1
0.015,15.271,0.013,0.911,0.012,0.208,0.007,34.118,0.142,1
0.017,15.035,0.006,1.004,0.01,0.12,0.007,34.162,0.127,1
0.504,22.978,0.01,1.124,0.019,0.03,0.018,42.429,0.039,1
0.582,23.599,0.02,1.002,0.024,0.018,0.03,42.881,0.054,1
0.496,22.957,0.011,0.899,0.01,-0.044,0.021,42.18,0.038,1
0.346,22.465,0.014,0.88,0.007,0.143,0.017,41.367,0.021,1
0.87,24.469,0.066,1.173,0.061,-0.035,0.143,44.095,0.301,1
0.679,24.094,0.033,0.975,0.032,-0.021,0.047,43.398,0.088,1
0.868,24.359,0.078,1.028,0.04,-0.102,0.169,43.871,0.344,1
0.331,21.8,0.005,0.937,0.005,0.042,0.004,40.946,0.013,1
0.688,23.629,0.015,0.999,0.024,-0.07,0.021,43.046,0.049,1
0.8,24.519,0.03,0.806,0.052,0.027,0.03,43.49,0.09,1
0.548,24.119,0.048,0.856,0.042,0.244,0.05,42.825,0.08,1
0.532,23.47,0.027,0.907,0.023,0.029,0.031,42.592,0.083,1
0.449,22.552,0.016,0.955,0.013,-0.048,0.019,41.866,0.044,1
0.371,22.201,0.016,0.968,0.01,-0.018,0.014,41.488,0.03,1
0.291,22.049,0.034,1.036,0.021,0.263,0.015,40.999,0.033,1
0.249,21.132,0.018,0.993,0.008,-0.09,0.013,40.571,0.02,1
0.463,22.558,0.111,1.074,0.031,-0.07,0.05,42.089,0.034,1
0.461,22.562,0.017,1.131,0.034,0.025,0.011,42.031,0.058,1
0.285,21.237,0.005,1.059,0.005,-0.061,0.004,40.731,0.015,1
0.633,23.746,0.02,0.989,0.029,-0.06,0.03,43.133,0.064,1
